ds,y
09-23-53,62667.2
09-24-53,62656.5
09-25-53,62663.66
09-26-53,62707.27
09-27-54,62694.66
09-28-54,62705.7
09-29-54,62701.5
09-30-54,62637.68
09-31-54,62640.0
09-32-54,62640.0
09-33-54,62716.0
09-34-54,62699.9
09-35-54,62684.99
09-36-55,62648.02
09-37-55,62679.99
09-38-55,62669.54
09-39-55,62645.92
09-40-55,62637.48
09-41-55,62640.01
09-42-55,62592.26
09-43-55,62589.82
09-44-56,62619.99
09-45-56,62568.59
09-46-56,62549.9
09-47-56,62554.85
09-48-56,62548.0
09-49-56,62486.64
09-50-56,62487.92
09-51-56,62463.99
09-52-57,62539.99
09-53-57,62525.49
09-54-57,62510.67
09-55-57,62542.14
09-56-57,62544.73
09-57-57,62575.75
09-58-57,62530.0
09-59-58,62523.54
10-00-58,62547.92
10-01-58,62545.5
10-02-58,62572.68
10-03-58,62575.67
10-04-58,62552.94
10-05-58,62569.13
10-06-58,62591.16
10-07-58,62571.06
10-08-59,62545.58
10-09-59,62568.29
10-10-59,62614.0
10-11-59,62653.56
10-12-59,62648.0
10-13-59,62669.51
10-14-59,62676.61
10-16-00,62636.36
10-17-00,62655.9
10-18-00,62660.0
10-19-00,62681.66
10-20-00,62699.96
10-21-00,62710.26
10-22-00,62760.03
10-23-00,62788.6
10-24-00,62771.38
10-25-01,62746.01
10-26-01,62749.99
10-27-01,62760.89
10-28-01,62759.02
10-29-01,62776.94
10-30-01,62787.88
10-31-01,62752.61
10-32-01,62787.88
10-33-01,62732.62
10-34-02,62738.0
10-35-02,62763.99
10-36-02,62738.07
10-37-02,62732.73
10-38-02,62769.73
10-39-02,62742.0
10-40-03,62747.14
10-41-03,62723.27
10-42-03,62714.01
10-43-03,62685.0
10-44-03,62680.0
10-45-03,62659.91
10-46-03,62683.61
10-47-03,62674.0
10-48-04,62654.89
10-49-04,62639.76
10-50-04,62636.37
10-51-04,62621.49
10-52-04,62567.73
10-53-04,62564.62
10-54-04,62552.46
10-55-04,62608.13
10-56-04,62631.82
10-57-05,62630.42
10-58-05,62602.0
10-59-05,62639.99
11-00-05,62626.53
11-01-05,62580.01
11-02-05,62555.05
11-03-05,62528.11
11-04-05,62515.16
11-05-05,62478.65
11-06-05,62504.01
11-07-06,62515.16
11-08-06,62536.5
11-09-06,62559.99
11-10-06,62538.02
11-11-06,62586.4
11-12-06,62580.0
11-13-06,62581.86
11-14-06,62580.7
11-15-06,62566.0
11-16-07,62548.98
11-17-07,62600.95
11-18-07,62616.99
11-19-07,62601.08
11-20-07,62589.99
11-21-07,62557.24
11-22-07,62610.82
11-23-07,62610.0
11-24-07,62622.88
11-25-08,62589.69
11-26-08,62560.72
11-27-08,62572.0
11-28-08,62586.0
11-29-08,62553.88
11-30-08,62540.0
11-31-08,62583.58
11-32-08,62592.0
11-33-08,62590.0
11-34-09,62549.9
11-35-09,62566.9
11-36-09,62584.01
11-37-09,62575.76
11-38-09,62559.9
11-39-09,62568.39
11-40-09,62625.29
11-41-09,62621.87
11-42-09,62599.78
11-43-10,62580.41
11-44-10,62595.99
11-45-10,62608.18
11-46-10,62629.99
11-47-10,62583.5
11-48-10,62579.9
11-49-10,62583.63
11-50-10,62578.57
11-51-10,62551.92
11-52-11,62540.0
11-53-11,62540.01
11-54-11,62569.23
11-55-11,62595.36
11-56-11,62608.0
11-57-11,62596.0
11-58-11,62580.0
11-59-12,62581.35
12-00-12,62612.0
12-01-12,62625.29
12-02-12,62649.99
12-03-12,62652.63
12-04-12,62666.66
12-05-12,62673.92
12-06-12,62668.18
12-07-12,62660.01
12-08-13,62641.61
12-09-13,62671.92
12-10-13,62668.02
12-11-13,62699.99
12-12-13,62696.0
12-13-13,62723.5
12-14-13,62745.76
12-15-13,62757.5
12-16-13,62801.92
12-17-14,62833.44
12-18-14,62875.48
12-19-14,62875.13
12-20-14,62826.09
12-21-14,62870.52
12-22-14,62944.0
12-23-14,63042.5
12-24-14,62999.89
12-25-14,63026.0
12-26-15,63137.99
12-27-15,63271.75
12-28-15,63315.48
12-29-15,63313.99
12-30-15,63300.0
12-31-15,63248.49
12-32-15,63234.0
12-33-15,63234.0
12-34-16,63333.36
12-35-16,63657.48
12-36-16,63676.0
12-37-16,63756.62
12-38-16,63840.01
12-39-16,63836.01
12-40-16,63887.99
12-41-16,63861.63
12-42-16,63961.99
12-43-17,64076.58
12-44-17,64102.02
12-45-17,64024.01
12-46-17,63966.94
12-47-17,63944.63
12-48-17,64100.0
12-49-17,64142.0
12-50-17,64171.37
12-51-17,64064.0
12-52-17,64080.1
12-53-18,64091.51
12-54-18,64119.99
12-55-18,64073.54
12-56-18,64233.12
12-57-18,64366.0
12-58-18,64250.0
12-59-18,64276.35
13-00-18,64379.14
13-01-18,64413.99
13-02-18,64490.17
13-03-19,64414.56
13-04-19,64373.0
13-05-19,64386.51
13-06-19,64374.49
13-07-19,64388.49
13-08-19,64351.01
13-09-19,64218.0
13-10-19,64164.01
13-11-19,64273.19
13-12-20,64288.0
13-13-20,64339.97
13-14-20,64283.01
13-15-20,64189.81
13-16-20,64156.4
13-17-20,64127.36
13-18-20,64127.35
13-19-20,64194.2
13-20-21,64199.99
13-21-21,64278.92
13-22-21,64320.0
13-23-21,64286.9
13-24-21,64268.46
13-25-21,64258.59
13-26-21,64229.99
13-27-21,64225.63
13-28-21,64201.63
13-29-21,64197.46
13-30-22,64233.45
13-31-22,64235.14
13-32-22,64287.99
13-33-22,64294.01
13-34-22,64332.62
13-35-22,64308.01
13-36-22,64348.0
13-37-22,64379.99
13-38-23,64362.46
13-39-23,64301.3
13-40-23,64302.01
13-41-23,64259.86
13-42-23,64292.0
13-43-23,64316.14
13-44-23,64298.0
13-45-23,64265.88
13-46-23,64268.59
13-47-24,64309.99
13-48-24,64297.3
13-49-24,64269.22
13-50-24,64278.64
13-51-24,64299.99
13-52-24,64320.0
13-53-24,64200.0
13-54-24,64170.99
13-55-24,64163.03
13-56-25,64160.51
13-57-25,64140.0
13-58-25,64138.44
13-59-25,64134.38
14-00-25,64154.0
14-01-25,64159.99
14-02-25,64132.93
14-03-25,64142.01
14-04-26,64143.4
14-05-26,64130.45
14-06-26,64080.95
14-07-26,63973.23
14-08-26,63949.18
14-09-26,63984.29
14-10-26,64043.99
14-11-26,64034.97
14-12-26,64016.58
14-13-27,63968.87
14-14-27,63982.0
14-15-27,63910.02
14-16-27,63925.44
14-17-27,64009.52
14-18-27,63970.0
14-19-27,63968.27
14-20-28,63954.01
14-21-28,63958.57
14-22-28,63954.0
14-23-28,63959.98
14-24-28,63986.47
14-25-28,63947.06
14-26-29,63921.32
14-27-29,63928.53
14-28-29,63904.0
14-29-29,63932.0
14-30-29,63914.14
14-31-29,63937.16
14-32-29,63918.0
14-33-29,63885.55
14-34-29,63877.99
14-35-30,63859.91
14-36-30,63843.33
14-37-30,63836.96
14-38-30,63819.84
14-39-30,63839.04
14-40-30,63832.56
14-41-30,63884.25
14-42-30,63936.0
14-43-30,63945.53
14-44-31,63932.08
14-45-31,63922.03
14-46-31,63934.0
14-47-31,63932.57
14-48-31,63939.95
14-49-31,63927.94
14-50-31,63926.0
14-51-31,63890.0
14-52-31,63891.99
14-53-32,63919.99
14-54-32,63922.27
14-55-32,63937.85
14-56-32,63949.27
14-57-32,63935.08
14-58-32,63930.6
14-59-32,63941.55
15-00-32,63932.0
15-01-32,63926.02
15-02-33,63935.98
15-03-33,63917.98
15-04-33,63917.99
15-05-33,63916.0
15-06-33,63919.99
15-07-33,63891.23
15-08-33,63849.76
15-09-33,63842.08
15-10-33,63885.67
15-11-34,63844.0
15-12-34,63838.67
15-13-34,63822.23
15-14-34,63848.0
15-15-34,63846.0
15-16-34,63880.0
15-17-34,63880.28
15-18-34,63921.01
15-19-34,63921.64
15-20-35,63924.32
15-21-35,63895.41
15-22-35,63929.66
15-23-35,63924.99
15-24-35,63932.92
15-25-35,63959.99
15-26-35,63976.56
15-27-35,63993.6
15-28-36,64057.62
15-29-36,64166.66
15-30-36,64080.0
15-31-36,64069.05
15-32-36,64058.0
15-33-36,64047.98
15-34-36,64033.61
15-35-36,64054.33
15-36-36,64045.99
15-37-37,64073.55
15-38-37,64225.41
15-39-37,64218.24
15-40-37,64170.15
15-41-37,64128.39
15-42-37,64144.97
15-43-37,64142.0
15-44-37,64151.67
15-45-38,64136.89
15-46-38,64136.0
15-47-38,64128.0
15-48-38,64131.3
15-49-38,64131.31
15-50-38,64128.01
15-51-38,64194.88
15-52-38,64147.22
15-53-38,64153.15
15-54-38,64148.62
15-55-39,64126.38
15-56-39,64126.37
15-57-39,64113.99
15-58-39,64107.38
15-59-39,64089.34
16-00-39,64092.82
16-01-39,64095.84
16-02-39,64066.0
16-03-39,64046.02
16-04-39,64110.68
16-05-40,64123.99
16-06-40,64109.99
16-07-40,64083.33
16-08-40,64046.72
16-09-40,64052.0
16-10-40,64054.6
16-11-40,64065.99
16-12-40,64082.99
16-13-40,64120.0
16-14-40,64136.37
16-15-40,64122.01
16-16-41,64092.0
16-17-41,64110.0
16-18-41,64073.5
16-19-41,64054.48
16-20-41,64111.12
16-21-41,64148.0
16-22-41,64166.01
16-23-41,64168.01
16-24-41,64119.05
16-25-41,64136.79
16-26-42,64128.31
16-27-42,64124.99
16-28-42,64083.63
16-29-42,64068.63
16-30-42,64083.37
16-31-42,64137.0
16-32-42,64166.66
16-33-42,64271.78
16-34-42,64219.26
16-35-42,64200.0
16-36-43,64229.99
16-37-43,64250.7
16-38-43,64241.5
16-39-43,64242.0
16-40-43,64322.0
16-41-43,64260.81
16-42-43,64256.3
16-43-43,64298.55
16-44-43,64311.23
16-45-43,64267.09
16-46-44,64275.6
16-47-44,64251.0
16-48-44,64348.0
16-49-44,64476.07
16-50-44,64634.27
16-51-44,64513.32
16-52-44,64490.02
16-53-44,64592.49
16-54-45,64540.01
16-55-45,64663.27
16-56-45,64646.0
16-57-45,64643.98
16-58-45,64630.36
16-59-45,64631.99
17-00-45,64650.0
17-01-45,64833.9
17-02-45,64801.99
17-03-45,64672.6
17-04-45,64589.99
17-05-45,64614.24
17-06-46,64599.69
17-07-46,64625.05
17-08-46,64600.03
17-09-46,64582.0
17-10-46,64594.0
17-11-46,64526.59
17-12-46,64516.2
17-13-46,64510.0
17-14-46,64486.0
17-15-46,64480.77
17-16-47,64459.99
17-17-47,64558.92
17-18-47,64566.0
17-19-47,64623.5
17-20-47,64650.01
17-21-47,64659.42
17-22-47,64686.82
17-23-47,64640.0
17-24-47,64662.93
17-25-47,64629.99
17-26-48,64630.0
17-27-48,64626.49
17-28-48,64625.99
17-29-48,64622.83
17-30-48,64638.28
17-31-48,64623.78
17-32-48,64600.15
17-33-48,64586.0
17-34-48,64597.13
17-35-49,64598.84
17-36-49,64532.02
17-37-49,64584.01
17-38-49,64483.99
17-39-49,64432.0
17-40-49,64474.21
17-41-49,64439.65
17-42-49,64435.49
17-43-50,64464.99
17-44-50,64471.02
17-45-50,64489.99
17-46-50,64476.07
17-47-50,64473.66
17-48-50,64452.54
17-49-50,64456.2
17-50-50,64454.0
17-51-50,64430.0
17-52-50,64435.99
17-53-50,64430.3
17-54-51,64437.52
17-55-51,64428.0
17-56-51,64416.41
17-57-51,64387.23
17-58-51,64427.99
17-59-51,64427.99
18-00-51,64458.0
18-01-51,64440.0
18-02-52,64472.91
18-03-52,64408.81
18-04-52,64439.54
18-05-52,64480.0
18-06-52,64468.49
18-07-52,64433.98
18-08-52,64403.47
18-09-52,64396.0
18-10-52,64355.14
18-11-53,64372.01
18-12-53,64427.99
18-13-53,64492.95
18-14-53,64476.0
18-15-53,64519.99
18-16-53,64681.99
18-17-53,64645.99
18-18-53,64650.0
18-19-53,64634.83
18-20-54,64629.99
18-21-54,64626.68
18-22-54,64631.39
18-23-54,64619.9
18-24-54,64624.46
18-25-54,64614.14
18-26-54,64624.01
18-27-54,64602.46
18-28-54,64586.97
18-29-55,64596.26
18-30-55,64634.14
18-31-55,64654.23
18-32-55,64653.56
18-33-55,64644.15
18-34-55,64622.09
18-35-55,64647.99
18-36-55,64625.07
18-37-55,64693.06
18-38-55,64698.0
18-39-56,64715.99
18-40-56,64671.37
18-41-56,64705.62
18-42-56,64704.09
18-43-56,64749.6
18-44-56,64757.21
18-45-56,64761.29
18-46-56,64813.94
18-47-56,64799.99
18-48-57,64800.0
18-49-57,64821.26
18-50-57,64825.69
18-51-57,64780.01
18-52-57,64825.57
18-53-57,64808.0
18-54-57,64849.99
18-55-57,64860.0
18-56-57,64854.07
18-57-58,64845.02
18-58-58,64809.64
18-59-58,64822.23
19-00-58,64837.98
19-01-58,64835.99
19-02-58,64833.61
19-03-58,64852.21
19-04-58,64824.77
19-05-58,64784.0
19-06-58,64755.35
19-07-59,64739.1
19-08-59,64730.36
19-09-59,64775.55
19-10-59,64783.99
19-11-59,64847.91
19-12-59,64856.7
19-13-59,64869.14
19-14-59,64895.98
19-15-59,64911.24
19-17-00,64850.0
19-18-00,64828.01
19-19-00,64899.99
19-20-00,64877.95
19-21-00,64898.01
19-22-00,64948.0
19-23-00,64992.0
19-24-00,64949.99
19-25-00,64959.45
19-26-01,64886.01
19-27-01,64910.99
19-28-01,64852.11
19-29-01,64850.0
19-30-01,64827.35
19-31-01,64845.72
19-32-01,64876.96
19-33-01,64855.42
19-34-01,64830.0
19-35-01,64820.47
19-36-01,64858.0
19-37-02,64859.03
19-38-02,64883.35
19-39-02,64851.97
19-40-02,64891.33
19-41-02,64930.01
19-42-02,64952.47
19-43-02,64941.19
19-44-02,64963.79
19-45-02,64950.29
19-46-03,64966.0
19-47-03,64975.77
19-48-03,64927.54
19-49-03,64924.0
19-50-03,64900.01
19-51-03,64886.0
19-52-03,64903.42
19-53-03,64880.0
19-54-03,64859.99
19-55-04,64881.88
19-56-04,64893.97
19-57-04,64872.0
19-58-04,64856.45
19-59-04,64876.0
20-00-04,64865.98
20-01-04,64866.35
20-02-04,64830.67
20-03-04,64821.08
20-04-04,64808.0
20-05-05,64805.43
20-06-05,64844.0
20-07-05,64899.99
20-08-05,64938.01
20-09-05,64960.63
20-10-05,64900.0
20-11-05,64919.99
20-12-05,64939.99
20-13-05,64896.8
20-14-05,64928.01
20-15-06,64899.89
20-16-06,64885.99
20-17-06,64929.99
20-18-06,64939.99
20-19-06,64955.52
20-20-06,64941.85
20-21-06,64952.52
20-22-06,64984.99
20-23-06,64994.0
20-24-06,64985.34
20-25-07,64970.6
20-26-07,64966.0
20-27-07,64950.36
20-28-07,64923.44
20-29-07,64955.98
20-30-07,64988.0
20-31-07,65071.6
20-32-07,65105.99
20-33-07,64998.9
20-34-08,64906.02
20-35-08,64952.0
20-36-08,64924.01
20-37-08,64930.0
20-38-08,64894.51
20-39-08,64878.02
20-40-08,64888.32
20-41-08,64931.99
20-42-08,64969.52
20-43-09,64971.0
20-44-09,64952.01
20-45-09,64914.01
20-46-09,64953.99
20-47-09,64929.25
20-48-09,64916.0
20-49-09,64897.67
20-50-09,64880.52
20-51-09,64883.52
20-52-10,64919.99
20-53-10,64889.35
20-54-10,64852.0
20-55-10,64859.63
20-56-10,64893.99
20-57-10,64877.61
20-58-10,64919.99
20-59-10,64931.89
21-00-10,64931.19
21-01-11,64905.95
21-02-11,64912.0
21-03-11,64840.02
21-04-11,64893.99
21-05-11,64855.99
21-06-11,64875.51
21-07-11,64895.99
21-08-12,64900.01
21-09-12,64917.88
21-10-12,64919.98
21-11-12,64976.02
21-12-12,64977.99
21-13-12,64982.0
21-14-12,64947.99
21-15-12,64893.98
21-16-12,64820.0
21-17-12,64794.92
21-18-13,64837.98
21-19-13,64874.03
21-20-13,64884.54
21-21-13,64861.47
21-22-13,64837.35
21-23-13,64819.64
21-24-13,64814.01
21-25-13,64787.99
21-26-13,64795.85
21-27-14,64804.0
21-28-14,64826.0
21-29-14,64783.38
21-30-14,64774.39
21-31-14,64827.92
21-32-14,64804.99
21-33-14,64932.0
21-34-14,64905.95
21-35-14,64943.99
21-36-15,64991.99
21-37-15,64974.02
21-38-15,64975.26
21-39-15,64976.72
21-40-15,64916.7
